Date,3105.TWO,3037.TW,6515.TW,00981A.TW,2383.TW,3081.TWO,6274.TWO,2454.TW
2026-02-06,-0.08541667,-0.06976744,0.01920904,0.00000000,-0.01282051,-0.02439024,-0.00192308,-0.03389831
2026-02-09,0.07744875,0.02205882,0.04656319,0.00000000,0.08051948,0.09500000,0.01734104,0.07017544
2026-02-10,0.08033827,0.06906475,0.03707627,0.11137575,0.01201923,0.02283105,0.00757576,0.00819672
2026-02-11,-0.03718200,-0.00672948,0.02247191,0.01178989,0.04275534,-0.03125000,0.00000000,0.00542005
2026-02-23,0.09959350,0.09891599,-0.06193806,0.00582630,-0.00911162,0.09677419,0.01315789,-0.03234501
2026-02-24,0.09981516,0.09987670,0.01490948,0.01843077,0.06206897,0.06302521,0.04267161,0.01671309
2026-02-25,0.08235294,0.02802691,0.04931794,0.03516031,0.04761905,0.00000000,0.02669039,0.02465753
2026-02-26,0.04968944,0.05016358,0.02300000,0.00899102,0.00826446,-0.01185771,-0.05545927,0.04010695
2026-03-02,-0.01923077,-0.00103842,-0.06647116,-0.00544557,-0.02459016,0.10000000,-0.00917431,-0.02313625
2026-03-03,-0.01659125,-0.03742204,-0.00942408,-0.01443509,-0.02521008,0.07272727,-0.00370370,-0.04473684
2026-03-04,-0.09969325,-0.09935205,-0.04334038,-0.05909092,-0.05603448,-0.05762712,-0.08828996,-0.05234160
2026-03-05,0.02214651,0.07913669,0.05524862,0.04669892,0.07990868,-0.01798561,0.03160041,0.03197674
2026-03-06,-0.00500000,-0.04000000,0.09947644,0.01435901,-0.00211416,0.09890110,-0.00395257,-0.00563380
2026-03-09,-0.09882747,-0.09953704,-0.05142857,-0.07178969,-0.07838983,-0.10000000,-0.09920635,-0.05665722
2026-03-10,0.01115242,0.08997429,0.09939759,0.03485835,0.09195402,0.10000000,0.02863436,0.02402402
2026-03-11,0.09926471,0.09905660,0.07762557,0.05526312,0.03157895,0.04713805,0.04603854,0.03519062
2026-03-12,0.02508361,0.03004292,0.07288136,0.00548631,0.06122449,-0.07395498,-0.07369498,0.01133144
2026-03-13,0.02120718,0.05833333,-0.00710900,0.00347221,0.04038462,0.03125000,0.09944751,-0.03641457
2026-03-16,-0.03035144,0.08070866,-0.01988862,0.00197731,-0.04436229,0.01010101,0.01105528,-0.00581395
2026-03-17,-0.03294893,-0.01092896,0.07467532,0.00394672,0.04448743,-0.10000000,0.00397614,0.01169591
