id,category,name,desc,alias,waste,kcal,kcal_adj,water,protein,fat,satfat,carb,fiber,sugar,sodium,vitA,vitC,potassium,calcium,magnesium,iron,zinc
E3200501,蔬菜類,千寶菜,樣品狀態:生; 前處理描述:混合均勻打碎,,,20.1997,15.9589,93.349,1.714,0.1968,0.0645,3.6056,2.232,1.1253,45.932,,0.117,289.6655,126.3905,27.308,2.4755,0.7065
E3200601,蔬菜類,小白菜(土植)(1月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",,10.4144,7.8982,96.42,1.15,0.184,0.0,1.5029,1.3243,,109.604,,0.062,109.36,98.996,16.41,1.8598,0.2629
E3200602,蔬菜類,小白菜(土植)(3月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",9.2,13.9188,11.3044,95.29,1.221,0.14,0.0568,2.4482,1.376,0.373,50.72,0.4747,0.09,255.64,122.41,17.68,1.51,0.29
E3200603,蔬菜類,小白菜(土植)(4月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",,13.1398,10.7864,95.799,1.05,0.199,,2.2367,1.2386,,124.901,,0.091,138.7373,72.8391,16.0218,1.13,0.3549
E3200604,蔬菜類,小白菜(土植)(7月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",8.0,10.4789,8.4959,96.315,0.96,0.11,,1.8059,1.0437,,119.0987,,0.158,143.9373,98.8804,13.3134,0.8437,0.1842
E3200605,蔬菜類,小白菜(土植)(10月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",,11.4178,9.3261,96.4,1.065,0.24,,1.6971,1.1009,,70.87,,0.0808,139.84,109.2,16.82,2.014,0.263
E3200701,蔬菜類,小白菜(水耕)(1月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",,12.7756,9.8845,95.3,1.452,0.107,0.0,2.0707,1.5216,,8.541,,0.021,359.344,67.179,34.775,2.1748,0.266
E3200702,蔬菜類,小白菜(水耕)(4月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",,13.351,10.7776,95.633,0.979,0.172,,2.3965,1.3544,,10.8848,,0.085,324.4403,65.8926,34.2816,0.9467,0.1633
E3200703,蔬菜類,小白菜(水耕)(7月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",12.9,12.2164,9.9832,95.661,0.902,0.077,,2.3612,1.1754,,8.8591,,0.169,269.9759,90.8255,18.0865,0.8224,0.1569
E3200704,蔬菜類,小白菜(水耕)(10月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",,11.9979,9.6773,95.92,1.091,0.27,,1.764,1.2214,,6.35,,0.1186,291.56,86.18,26.33,1.709,0.371
